,City,Longitud,Latitude,Temperature,Humidity,Cloudiness,Wind_speed
0,Avarua,-159.775,-21.2078,86.0,70,20,6.91
1,Rikitea,-134.9692,-23.1203,80.24,76,55,16.55
2,Busselton,115.3333,-33.65,86.77,55,99,1.99
3,Butaritari,172.7902,3.0707,79.92,79,96,19.15
4,Vila,-8.1588,42.0304,48.99,68,100,1.01
5,Kununurra,128.7333,-15.7667,89.6,74,40,5.75
6,Goderich,-81.7165,43.7501,17.6,73,100,4.61
7,Sainte-Maxime,6.6333,43.3,31.51,93,100,7.67
8,San Patricio,-97.5169,28.017,29.46,86,75,14.97
9,Honningsvåg,25.9704,70.9821,35.04,84,100,24.7
10,King City,-121.126,36.2127,47.73,88,93,6.69
11,Kinsale,-8.5306,51.7075,48.6,93,75,16.11
12,Nacala,40.6728,-14.5428,78.06,89,100,14.58
13,Teluknaga,106.6381,-6.0989,80.98,83,75,3.44
14,Okmulgee,-95.9605,35.6234,6.8,78,90,11.5
15,Pangnirtung,-65.7125,66.1451,-18.62,78,97,3.56
16,Jamestown,-79.2353,42.097,17.22,79,1,3.76
17,Port Elizabeth,25.5701,-33.918,68.0,83,20,23.02
18,Qaanaaq,-69.3632,77.484,5.56,89,99,4.76
19,Olot,2.4901,42.181,39.94,85,100,4.21
20,Mount Gambier,140.7667,-37.8333,75.2,46,100,8.05
21,Torquay,-3.5143,50.4638,49.17,1,100,3.0
22,Dingle,122.6711,10.9995,78.39,86,100,6.91
23,Sioux Lookout,-91.917,50.1001,-18.4,69,1,3.44
24,Thompson,-97.8558,55.7435,-5.8,84,75,4.61
25,George Town,100.3354,5.4112,82.8,61,20,8.05
26,Marsaxlokk,14.5431,35.8419,44.24,53,75,17.27
27,Saint-Philippe,55.7679,-21.3585,74.46,73,20,5.75
28,Port Alfred,26.891,-33.5906,69.01,94,100,7.0
29,Praia,-23.5087,14.9215,69.8,60,20,13.8
30,Hithadhoo,73.0833,-0.6,82.4,75,40,8.25
31,San Cristobal,-72.225,7.7669,67.3,87,92,1.14
32,Yarmouth,-70.2286,41.7057,35.44,87,90,6.91
33,Bethel,-73.414,41.3712,31.64,64,20,4.61
34,Dikson,80.5464,73.5069,-20.88,87,100,13.78
35,Puerto Ayora,-90.3518,-0.7393,75.99,92,76,6.78
36,Banda Aceh,95.3222,5.5577,84.33,67,21,12.97
37,Tiznit Province,-9.5,29.5833,61.29,31,0,7.05
38,Hasaki,140.8333,35.7333,57.7,94,75,18.41
39,Mataura,168.8643,-46.1927,60.01,69,80,15.01
